ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCDPCPO24N000000001","장소","공원","100136","엑스포공원",,,"50705","지역근린공원","3020014100104670003","대전광역시","유성구","전민동",,"467-3","3020014100","3020057000","302003167043.0","엑스포로","476","127.405587669723","36.3983554752812","다바915223","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000002","장소","공원","100179","푸른길공원",,,"50705","지역근린공원","2911011800104270002","광주광역시","동구","서석동",,"427-2","2911011800","2911065500",,,,"126.925946426891","35.1447510131458","다라477834","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000003","장소","공원","1002998","관교공원",,,"50705","지역근린공원","2817710700200520000","인천광역시","미추홀구","문학동",,"산52","2817710700","2817771000",,,,"126.686998903841","37.4420092368439","다사280384","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000004","장소","공원","1003060","대호목조각공원",,,"50705","지역근린공원","4427032026105430000","충청남도","당진시","석문면","난지도리","543","4427032026","4427032000",,,,"126.462517488545","37.0201493333061","다바077917","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000005","장소","공원","1003602","유성명물문화공원",,,"50705","지역근린공원","3020011100105740004","대전광역시","유성구","봉명동",,"574-4","3020011100","3020053000",,,,"127.344778276874","36.3551201349808","다바860175","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000006","장소","공원","100373","박지성공설운동장고흥생활체육공원",,,"50705","지역근린공원","4677025025200180000","전라남도","고흥군","고흥읍","호형리","산18","4677025025","4677025000","467703289003.0","고흥로","1892-67","127.302255059635","34.6158988813331","다라818246","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000007","장소","공원","100429","낡은터쌈지공원",,,"50705","지역근린공원","5219033033108230001","전북특별자치도","남원시","송동면","세전리","823-1","5219033033","5219033000",,,,"127.317154493388","35.3207717765675","다마833028","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000008","장소","공원","1004793","임오체육공원",,,"50705","지역근린공원","4719011700102280001","경상북도","구미시","임은동",,"228-1","4719011700","4719066000","471903308048.0","왕산로","28-33","128.365301320382","36.0845239678816","라마779878","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000009","장소","공원","1004907","장성호관광지장성호문화예술공원",,,"50705","지역근린공원","4688040031103130006","전라남도","장성군","북하면","쌍웅리","313-6","4688040031","4688040000","468804697218.0","송정공원길","11-1","126.850215020361","35.4174157107729","다마410137","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000010","장소","공원","1005874","솔찬어린이공원",,,"50705","지역근린공원","4111710500109640003","경기도","수원시 영통구","영통동",,"964-3","4111710500","4111758500",,,,"127.064841816254","37.2529851906587","다사614172","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000011","장소","공원","1006097","차피패밀리파크","화성동탄점",,"50706","어린이놀이터","4159012700100930003","경기도","화성시","반송동",,"93-3","4159012700","4159058500","415903210169.0","동탄반석로","172","127.072035505187","37.2038477182244","다사620117","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000012","장소","공원","1006117","한방엑스포공원",,,"50705","지역근린공원","4315012400106600000","충청북도","제천시","왕암동",,"660","4315012400","4315056000","431503239076.0","한방엑스포로","19","128.160842122614","37.14423353059","라사586052","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000013","장소","공원","1006147","평원공원",,,"50705","지역근린공원","4159025939104440000","경기도","화성시","향남읍","행정리","444","4159025939","4159025900","415903210119.0","행정중앙1로","19","126.917900163706","37.1279269669602","다사482034","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000014","장소","공원","1006163","팔각정공원",,,"50705","지역근린공원","1111018300200060002","서울특별시","종로구","평창동",,"산6-2","1111018300","1111056000","111104100518.0","북악산로","221","126.980470324476","37.602066933447","다사541559","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000015","장소","공원","1006814","임진강평화습지원",,,"50705","지역근린공원","4180031022200020000","경기도","연천군","군남면","옥계리","산2","4180031022","4180031000",,,,"127.029140919161","38.1199042210167","다아587134","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000016","장소","공원","1006910","바람개비동산",,,"50705","지역근린공원","4729012600106540000","경상북도","경산시","사동",,"654","4729012600","4729056000","472904739352.0","백양로33길","46","128.761003293995","35.8143300948716","마마139582","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
"KCDPCPO24N000000017","장소","공원","1007090","남화산해맞이테마공원",,,"50705","지역근린공원","5123025322203240000","강원특별자치도","삼척시","원덕읍","임원리","산324","5123025322","5123025300",,,,"129.349934717042","37.2352633403133","마사640167","20250711","KT","KC_498_DMSTC_MCST_PBL_CT_PARK_2024","20241015"
